Date,Temp1,Intensity1,Temp2,Intensity2,Temp3,Intensity3
12/26/22,83.399,1536,80.911,18,83.221,672
12/26/22,80.206,0,80.206,0,80.206,0
12/27/22,76.006,0,75.832,0,76.006,0
12/27/22,76.528,136,76.006,0,76.354,69
12/27/22,83.757,288,79.502,15,81.266,248
12/27/22,77.4,0,77.05,0,77.225,0
12/28/22,73.407,0,73.234,0,73.58,0
12/28/22,75.832,61,75.484,0,75.484,26
12/28/22,81.09,576,79.151,29,80.559,480
12/28/22,77.574,0,77.4,0,77.749,0
12/29/22,75.832,0,75.659,0,75.832,0
12/29/22,74.791,38,74.271,0,74.271,34
12/29/22,80.206,304,79.151,6,80.029,272
12/29/22,78.274,0,78.274,0,78.274,0
12/30/22,75.312,0,75.139,0,75.312,0
12/30/22,75.659,86,75.312,0,75.484,60
12/30/22,85.735,704,79.502,64,81.442,704
12/30/22,77.923,0,77.574,0,77.574,0
12/31/22,75.484,0,75.139,0,75.139,0
12/31/22,75.484,25,74.964,1,75.139,33
12/31/22,84.654,1088,80.911,22,84.474,864
12/31/22,80.206,0,80.029,0,79.853,0
1/1/23,76.876,0,76.528,0,76.703,0
1/1/23,76.354,28,76.181,2,76.354,34
1/1/23,81.797,512,80.029,48,81.442,800
1/1/23,79.326,0,79.151,0,79.151,0
1/2/23,76.528,0,76.354,0,77.05,0
1/2/23,75.659,95,75.484,2,75.832,40
1/2/23,86.459,864,80.382,58,83.399,768
1/2/23,80.206,0,79.853,0,79.678,0
1/3/23,77.4,0,77.225,0,77.225,0
1/3/23,76.181,50,76.006,1,76.181,31
1/3/23,82.152,992,79.502,52,81.797,608
1/3/23,73.926,0,75.832,0,73.926,0
1/4/23,76.703,0,76.354,0,76.703,0
1/4/23,75.832,12,75.659,1,75.832,32
1/4/23,78.8,272,77.05,48,77.923,448
1/4/23,70.824,0,71.168,0,70.824,0
1/5/23,76.006,0,75.659,0,75.832,0
1/5/23,75.312,62,75.312,0,75.312,41
1/5/23,78.098,576,76.876,29,78.098,304
1/5/23,74.271,0,74.271,0,74.271,0
1/6/23,75.139,0,75.484,0,75.659,0
1/6/23,74.098,32,73.407,4,74.098,26
1/6/23,81.09,1344,78.624,144,81.442,608
1/6/23,74.271,0,74.619,0,74.619,0
1/7/23,75.832,0,75.484,0,75.659,0
1/7/23,76.006,83,75.832,2,76.006,69
1/7/23,84.654,768,79.678,38,81.621,432
1/7/23,74.098,0,73.58,0,73.58,0
1/8/23,76.876,0,76.354,0,76.528,0
1/8/23,76.703,23,76.354,1,76.528,36
1/8/23,84.474,800,81.621,35,84.115,496
1/8/23,72.372,0,72.718,0,73.407,0
1/9/23,75.312,0,73.407,0,72.199,0
1/9/23,76.528,59,76.181,2,76.354,16
1/9/23,83.757,3712,81.09,52,83.579,512
1/9/23,81.442,0,81.442,0,81.621,0
1/10/23,76.703,0,76.181,0,76.181,0
1/10/23,76.876,25,76.528,0,76.703,30
1/10/23,83.757,608,80.206,34,83.043,512
1/10/23,78.975,0,78.624,0,78.8,0
1/11/23,76.181,0,75.312,0,75.484,0
1/11/23,76.876,26,76.528,0,76.703,30
1/11/23,79.853,512,77.749,30,79.151,288
1/11/23,76.528,0,76.181,0,76.354,0
1/12/23,75.312,0,74.964,0,75.139,0
1/12/23,75.832,13,75.659,3,75.832,15
1/12/23,80.735,2432,78.624,84,80.911,448
1/12/23,76.528,0,76.354,0,76.528,0
1/13/23,76.181,0,76.006,0,76.181,0
1/13/23,76.006,71,75.832,1,76.006,40
1/13/23,81.975,608,79.853,41,81.797,576
1/13/23,77.225,0,76.876,0,77.05,0
1/14/23,75.832,0,75.659,0,75.832,0
1/14/23,75.832,59,75.312,1,75.312,22
1/14/23,84.474,4608,81.442,34,84.115,576
1/14/23,80.911,0,80.911,0,80.382,0
1/15/23,76.703,0,76.876,0,77.05,0
1/15/23,75.139,21,74.791,0,74.791,15
1/15/23,81.442,1024,79.326,89,82.508,800
1/15/23,77.923,0,77.574,0,77.749,0
1/16/23,76.354,0,76.354,0,76.354,0
1/16/23,76.006,50,75.832,0,76.006,20
1/16/23,80.735,368,79.151,30,80.206,320
1/16/23,78.8,0,78.8,0,78.624,0
1/17/23,77.225,0,76.876,0,77.05,0
1/17/23,76.181,64,75.832,0,76.006,18
1/17/23,83.579,4352,81.442,39,83.757,496
1/17/23,80.559,0,80.206,0,80.206,0
1/18/23,77.574,0,77.225,0,77.4,0
1/18/23,76.876,29,76.528,0,76.703,20
1/18/23,84.115,1216,81.442,42,85.014,608
1/18/23,74.446,0,77.923,0,74.446,0
1/19/23,77.749,0,77.574,0,77.574,0
1/19/23,77.05,60,76.703,1,76.876,16
1/19/23,84.654,800,81.442,68,85.374,800
1/19/23,73.753,0,74.964,0,73.407,0
1/20/23,77.749,0,77.4,0,77.574,0
1/20/23,77.4,75,77.225,2,77.4,21
1/20/23,82.152,2304,79.502,31,83.399,448
1/20/23,74.098,0,73.407,0,73.407,0
1/21/23,77.4,0,77.225,0,77.4,0
1/21/23,77.4,49,77.05,1,77.225,50
1/21/23,83.221,3456,79.853,41,83.221,576
1/21/23,73.58,0,73.062,0,72.891,0
1/22/23,76.354,0,76.181,0,76.528,0
1/22/23,77.574,22,77.225,1,77.4,24
1/22/23,80.382,480,79.502,26,80.206,88
1/22/23,76.876,0,76.354,0,76.703,0
1/23/23,74.271,0,74.098,0,74.271,0
1/23/23,77.4,67,77.225,7,77.4,24
1/23/23,84.474,9728,81.09,144,84.295,800
1/23/23,79.502,0,79.326,0,79.502,0
1/24/23,77.574,0,77.4,0,77.4,0
1/24/23,78.098,34,77.749,3,77.923,18
1/24/23,85.735,1152,82.508,36,85.194,576
1/24/23,81.266,0,81.09,0,80.911,0
1/25/23,77.225,0,77.749,0,77.749,0
1/25/23,78.098,74,77.749,1,77.923,12
1/25/23,80.911,672,78.8,126,80.206,672
1/25/23,77.749,0,77.574,0,77.749,0
1/26/23,75.139,0,75.139,0,75.312,0
1/26/23,75.312,45,75.312,1,75.484,29
1/26/23,80.911,704,77.923,53,80.029,960
1/26/23,76.006,0,76.006,0,76.006,0
1/27/23,74.271,0,74.271,0,74.271,0
1/27/23,74.619,14,74.271,0,74.446,24
1/27/23,77.923,368,76.006,33,77.4,512
1/27/23,75.139,0,74.964,0,75.139,0
1/28/23,74.619,0,74.446,0,74.619,0
1/28/23,74.446,3,74.098,0,74.271,17
1/28/23,75.832,208,76.354,72,75.832,184
1/28/23,73.926,0,73.753,0,73.753,0
1/29/23,73.926,0,73.58,0,73.753,0
1/29/23,73.407,9,73.407,3,73.407,14
1/29/23,74.619,208,74.964,58,74.791,400
1/29/23,73.062,0,73.062,0,73.234,0
1/30/23,73.407,0,73.234,0,73.234,0
1/30/23,73.062,6,72.891,4,73.062,3
1/30/23,76.181,224,76.876,248,76.006,208
